Listing_ID,Seller_ID,Feedback_Score,Condition_ID,Condition_Name,Standard_Condition,Laptop_ID,Brand,Ram_Size,Storage_Type,Storage_Capacity,Price,Currency,Shipping_Cost,Total_Cost
v1|226682504011|0,*kool-trader,100.0,1000,New,New,v1|226682504011|0,Lenovo,16GB,Unknown,1TB,1899.98,USD,0.0,1899.98
v1|305764088040|0,1899mart,98.5,1000,New,New,v1|305764088040|0,HP,16GB,SSD,256GB,349.99,USD,0.0,349.99
v1|185136835199|0,1969gtoj-86,0.0,1000,New,New,v1|185136835199|0,Acer,Unknown,Unknown,Unknown,200.0,USD,0.0,200.0
v1|205394668851|0,4.-q,100.0,1000,New,New,v1|205394668851|0,Lenovo,Unknown,SSD,128GB,269.98,USD,0.0,269.98
v1|196225835065|0,abaa-it,100.0,1000,New,New,v1|196225835065|0,HP,8GB,SSD,128GB,299.0,USD,0.0,299.0
v1|396284868152|0,acemagic-direct,100.0,1000,New,New,v1|396284868152|0,Intel,16GB,SSD,512GB,499.0,USD,0.0,499.0
v1|186925695515|0,adk4341,0.0,1000,New,New,v1|186925695515|0,Acer,Unknown,Unknown,Unknown,250.0,USD,0.0,250.0
v1|387372716545|0,afeelbafe,100.0,1000,New,New,v1|387372716545|0,Intel,Unknown,Unknown,Unknown,241.74,USD,0.0,241.74
v1|146490036409|0,afooshani9497,99.5,1000,New,New,v1|146490036409|0,Dell,16GB,SSD,512GB,849.99,USD,0.0,849.99
v1|167024716223|0,aigar2129,0.0,1000,New,New,v1|167024716223|0,HP,Unknown,Unknown,Unknown,360.0,USD,8.0,368.0
v1|116107451990|0,ajtechnologyca,100.0,1000,New,New,v1|116107451990|0,HP,8GB,SSD,256GB,415.05,USD,22.62,437.67
v1|388120118355|0,alanwithtech,100.0,1000,New,New,v1|388120118355|0,HP,8GB,SSD,256GB,289.0,USD,0.0,289.0
v1|235923304963|0,alexpa_2025,99.7,1000,New,New,v1|235923304963|0,Lenovo,4GB,Unknown,64GB,221.25,USD,0.0,221.25
v1|365499020826|0,ali_944632,0.0,1000,New,New,v1|365499020826|0,Apple,Unknown,Unknown,1TB,1800.0,USD,0.0,1800.0
v1|166643093784|466300170192,alicexu19861024,97.8,1000,New,New,v1|166643093784|466300170192,Intel,Unknown,Unknown,Unknown,675.0,USD,70.0,745.0
v1|326510844497|0,all4homeusa,98.9,1000,New,New,v1|326510844497|0,Microsoft,16GB,Unknown,512GB,674.99,USD,0.0,674.99
v1|388001322534|0,allstore-up,97.3,1000,New,New,v1|388001322534|0,HP,64GB,SSD,4TB,1114.99,USD,0.0,1114.99
v1|387796761211|655059787207,allstore-up,97.3,1000,New,New,v1|387796761211|655059787207,HP,16GB,SSD,320GB,276.99,USD,0.0,276.99
v1|387788257933|655050203855,allstore-up,97.3,1000,New,New,v1|387788257933|655050203855,HP,16GB,Unknown,320GB,265.99,USD,0.0,265.99
v1|387736121604|654971896825,allstore-up,97.3,1000,New,New,v1|387736121604|654971896825,HP,64GB,SSD,2TB,516.99,USD,0.0,516.99
v1|388000769031|655233751066,allstore-up,97.3,1000,New,New,v1|388000769031|655233751066,HP,64GB,SSD,4TB,748.99,USD,0.0,748.99
v1|388190305020|0,alv-9540,0.0,1000,New,New,v1|388190305020|0,HP,16GB,Unknown,512GB,549.99,USD,0.0,549.99
v1|146462999740|0,anaseld0,0.0,1000,New,New,v1|146462999740|0,Lenovo,Unknown,Unknown,Unknown,499.0,USD,0.0,499.0
v1|305718430632|0,antonline,99.2,1000,New,New,v1|305718430632|0,Lenovo,16GB,SSD,512GB,899.99,USD,0.0,899.99
v1|126480962681|0,antonline,99.2,1000,New,New,v1|126480962681|0,Lenovo,12GB,SSD,512GB,599.99,USD,0.0,599.99
v1|305776945810|0,antonline,99.2,1000,New,New,v1|305776945810|0,Lenovo,12GB,SSD,512GB,519.99,USD,0.0,519.99
v1|126494851608|0,antonline,99.2,1000,New,New,v1|126494851608|0,Lenovo,16GB,SSD,1TB,879.99,USD,0.0,879.99
v1|126754097392|0,antonline,99.2,1000,New,New,v1|126754097392|0,Lenovo,8GB,SSD,512GB,499.99,USD,0.0,499.99
v1|306008460011|0,antonline,99.2,1000,New,New,v1|306008460011|0,HP,16GB,SSD,512GB,749.99,USD,0.0,749.99
v1|295907273733|0,antonline,99.2,1000,New,New,v1|295907273733|0,HP,8GB,SSD,256GB,359.99,USD,0.0,359.99
v1|126980447626|0,antonline,99.2,1000,New,New,v1|126980447626|0,Intel,32GB,Unknown,1TB,1628.99,USD,0.0,1628.99
v1|297083816485|0,antonline,99.2,1000,New,New,v1|297083816485|0,MSI,16GB,Unknown,Unknown,2634.53,USD,0.0,2634.53
v1|297138453380|0,antonline,99.2,1000,New,New,v1|297138453380|0,MSI,Unknown,Unknown,Unknown,2413.51,USD,0.0,2413.51
v1|296644186762|0,antonline,99.2,1000,New,New,v1|296644186762|0,Intel,Unknown,Unknown,Unknown,1025.97,USD,0.0,1025.97
v1|305740972834|0,antonline,99.2,1000,New,New,v1|305740972834|0,ThinkPad,8GB,Unknown,Unknown,713.32,USD,0.0,713.32
v1|297178658130|0,antonline,99.2,1000,New,New,v1|297178658130|0,MSI,16GB,SSD,1TB,858.81,USD,0.0,858.81
v1|306220146668|0,antonline,99.2,1000,New,New,v1|306220146668|0,Intel,8GB,Unknown,Unknown,461.31,USD,0.0,461.31
